epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9502,2.70027,2.76212,0.91918,0.71386,0.74379,0.70678,0.26886,2.23919,1.71024,0.76125,0.00034,0.00034,0.00034
2,54.3078,2.3295,1.13775,0.80361,0.58752,0.7058,0.56731,0.20988,2.17649,1.82115,0.7515,0.00068614,0.00068614,0.00068614
3,67.4654,2.22609,0.99557,0.77936,0.65075,0.7549,0.67092,0.28952,2.08235,1.54952,0.75548,0.00101802,0.00101802,0.00101802
4,80.3523,2.26785,1.00234,0.77827,0.75562,0.78445,0.77208,0.33748,2.1518,1.38132,0.75856,0.00133565,0.00133565,0.00133565
5,93.4669,2.20266,0.98527,0.76789,0.69332,0.77234,0.75306,0.37524,1.92865,1.18035,0.73805,0.00163902,0.00163902,0.00163902
6,106.694,2.23255,0.98289,0.77822,0.76316,0.79801,0.79925,0.34908,2.05168,1.46721,0.74025,0.001802,0.001802,0.001802
7,119.799,2.15403,0.98071,0.77684,0.77496,0.80286,0.808,0.34068,2.21419,1.39488,0.75565,0.0017624,0.0017624,0.0017624
8,133.066,2.0752,0.95558,0.77129,0.68679,0.70429,0.67987,0.23353,2.32877,1.38854,0.75322,0.0017228,0.0017228,0.0017228
9,146.246,2.19078,0.98343,0.78006,0.75773,0.81351,0.77921,0.36632,1.94112,0.91667,0.74412,0.0016832,0.0016832,0.0016832
10,159.352,2.19203,1.01454,0.7793,0.78951,0.79099,0.80691,0.35516,2.04059,1.06405,0.74142,0.0016436,0.0016436,0.0016436
11,172.639,2.15751,0.99422,0.7776,0.7848,0.79049,0.80174,0.40548,1.87885,0.89822,0.73393,0.001604,0.001604,0.001604
12,185.893,2.04751,0.90674,0.76013,0.77807,0.82005,0.8106,0.39368,1.80912,1.25388,0.73419,0.0015644,0.0015644,0.0015644
